key_resp.keys,key_resp.rt,participant,session,date,Condition,CorrResp_Train,Part_Resp_Train,Code_Train,CorrResp_Test,Part_Resp_Test,Code_Test
space,23.471585,4,1,2021-01-29_11h16.49.246,AV,3,3,1,6,6,1
,,4,1,2021-01-29_11h16.49.246,AV,7,8,0,4,4,1
,,4,1,2021-01-29_11h16.49.246,AV,5,6,0,2,1,0
,,4,1,2021-01-29_11h16.49.246,AV,6,9,0,5,6,0
,,4,1,2021-01-29_11h16.49.246,AV,0,5,0,7,8,0
,,4,1,2021-01-29_11h16.49.246,AV,7,5,0,3,2,0
,,4,1,2021-01-29_11h16.49.246,AV,8,7,0,0,0,1
,,4,1,2021-01-29_11h16.49.246,AV,2,2,1,8,8,1
,,4,1,2021-01-29_11h16.49.246,AV,7,5,0,1,1,1
,,4,1,2021-01-29_11h16.49.246,AV,9,9,1,9,7,0
,,4,1,2021-01-29_11h16.49.246,AV,1,1,1,6,6,1
,,4,1,2021-01-29_11h16.49.246,AV,6,5,0,4,4,1
,,4,1,2021-01-29_11h16.49.246,AV,5,0,0,1,2,0
,,4,1,2021-01-29_11h16.49.246,AV,0,0,1,7,7,1
,,4,1,2021-01-29_11h16.49.246,AV,3,3,1,5,6,0
,,4,1,2021-01-29_11h16.49.246,AV,4,2,0,0,0,1
,,4,1,2021-01-29_11h16.49.246,AV,7,7,1,3,2,0
,,4,1,2021-01-29_11h16.49.246,AV,9,9,1,4,4,1
,,4,1,2021-01-29_11h16.49.246,AV,4,4,1,8,5,0
,,4,1,2021-01-29_11h16.49.246,AV,6,6,1,2,1,0
,,4,1,2021-01-29_11h16.49.246,AV,9,5,0,9,5,0
,,4,1,2021-01-29_11h16.49.246,AV,2,2,1,1,3,0
,,4,1,2021-01-29_11h16.49.246,AV,4,4,1,6,6,1
,,4,1,2021-01-29_11h16.49.246,AV,1,1,1,5,5,1
,,4,1,2021-01-29_11h16.49.246,AV,1,1,1,0,6,0
,,4,1,2021-01-29_11h16.49.246,AV,6,7,0,7,8,0
,,4,1,2021-01-29_11h16.49.246,AV,7,5,0,4,2,0
,,4,1,2021-01-29_11h16.49.246,AV,4,4,1,8,8,1
,,4,1,2021-01-29_11h16.49.246,AV,8,8,1,2,2,1
