key_resp.keys,key_resp.rt,participant,session,date,Condition,CorrResp_Train,Part_Resp_Train,Code_Train,CorrResp_Test,Part_Resp_Test,Code_Test
space,3.72569,1,1,2021-01-27_13h12.17.769,AO,3,4,0,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,7,7,1,4,4,1
,,1,1,2021-01-27_13h12.17.769,AO,5,0,0,2,2,1
,,1,1,2021-01-27_13h12.17.769,AO,6,6,1,5,5,1
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,7,8,0
,,1,1,2021-01-27_13h12.17.769,AO,7,9,0,3,3,1
,,1,1,2021-01-27_13h12.17.769,AO,8,6,0,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,2,2,1,8,8,1
,,1,1,2021-01-27_13h12.17.769,AO,7,9,0,1,3,0
,,1,1,2021-01-27_13h12.17.769,AO,9,6,0,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,1,4,0,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,6,0,0,4,3,0
,,1,1,2021-01-27_13h12.17.769,AO,5,8,0,1,1,1
,,1,1,2021-01-27_13h12.17.769,AO,0,6,0,7,7,1
,,1,1,2021-01-27_13h12.17.769,AO,3,3,1,5,8,0
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,7,7,1,3,1,0
,,1,1,2021-01-27_13h12.17.769,AO,9,6,0,4,2,0
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,8,5,0
,,1,1,2021-01-27_13h12.17.769,AO,6,7,0,2,1,0
,,1,1,2021-01-27_13h12.17.769,AO,9,5,0,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,2,2,1,1,1,1
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,1,1,1,5,7,0
,,1,1,2021-01-27_13h12.17.769,AO,1,2,0,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,6,8,0,7,9,0
,,1,1,2021-01-27_13h12.17.769,AO,7,9,0,4,4,1
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,8,8,1
,,1,1,2021-01-27_13h12.17.769,AO,8,8,1,2,2,1
,,1,1,2021-01-27_13h12.17.769,AO,5,6,0,3,1,0
,,1,1,2021-01-27_13h12.17.769,AO,9,7,0,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,5,5,1
,,1,1,2021-01-27_13h12.17.769,AO,3,2,0,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,5,6,0,1,1,1
,,1,1,2021-01-27_13h12.17.769,AO,8,7,0,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,2,1,0,3,2,0
,,1,1,2021-01-27_13h12.17.769,AO,1,2,0,4,4,1
,,1,1,2021-01-27_13h12.17.769,AO,7,7,1,8,8,1
,,1,1,2021-01-27_13h12.17.769,AO,6,9,0,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,2,3,0,2,2,1
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,5,5,1
,,1,1,2021-01-27_13h12.17.769,AO,4,3,0,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,5,6,0,3,3,1
,,1,1,2021-01-27_13h12.17.769,AO,3,1,0,7,8,0
,,1,1,2021-01-27_13h12.17.769,AO,1,2,0,4,2,0
,,1,1,2021-01-27_13h12.17.769,AO,7,5,0,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,8,7,0,1,1,1
,,1,1,2021-01-27_13h12.17.769,AO,9,9,1,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,2,1,0
,,1,1,2021-01-27_13h12.17.769,AO,6,9,0,5,7,0
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,8,5,0
,,1,1,2021-01-27_13h12.17.769,AO,2,1,0,3,3,1
,,1,1,2021-01-27_13h12.17.769,AO,9,7,0,7,7,1
,,1,1,2021-01-27_13h12.17.769,AO,8,5,0,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,7,5,0,4,4,1
,,1,1,2021-01-27_13h12.17.769,AO,9,5,0,1,2,0
,,1,1,2021-01-27_13h12.17.769,AO,3,1,0,2,1,0
,,1,1,2021-01-27_13h12.17.769,AO,2,2,1,5,5,1
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,6,9,0,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,1,3,0,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,8,8,1,3,2,0
,,1,1,2021-01-27_13h12.17.769,AO,6,6,1,4,2,0
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,8,5,0
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,3,3,1,7,8,0
,,1,1,2021-01-27_13h12.17.769,AO,7,7,1,5,7,0
,,1,1,2021-01-27_13h12.17.769,AO,1,1,1,4,4,1
,,1,1,2021-01-27_13h12.17.769,AO,2,3,0,2,2,1
,,1,1,2021-01-27_13h12.17.769,AO,5,9,0,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,3,2,0,1,1,1
,,1,1,2021-01-27_13h12.17.769,AO,0,8,0,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,9,6,0,3,3,1
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,5,7,0
,,1,1,2021-01-27_13h12.17.769,AO,8,6,0,4,4,1
,,1,1,2021-01-27_13h12.17.769,AO,6,6,1,2,2,1
,,1,1,2021-01-27_13h12.17.769,AO,2,1,0,7,9,0
,,1,1,2021-01-27_13h12.17.769,AO,7,7,1,8,8,1
,,1,1,2021-01-27_13h12.17.769,AO,9,9,1,1,1,1
,,1,1,2021-01-27_13h12.17.769,AO,1,1,1,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,5,7,0,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,8,7,0,5,7,0
,,1,1,2021-01-27_13h12.17.769,AO,6,0,0,2,1,0
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,7,9,0,3,2,0
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,9,5,0,8,5,0
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,7,7,1
,,1,1,2021-01-27_13h12.17.769,AO,3,4,0,1,2,0
,,1,1,2021-01-27_13h12.17.769,AO,8,5,0,4,3,0
,,1,1,2021-01-27_13h12.17.769,AO,6,6,1,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,1,4,0,8,9,0
,,1,1,2021-01-27_13h12.17.769,AO,8,7,0,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,3,2,0,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,7,7,1,7,7,1
,,1,1,2021-01-27_13h12.17.769,AO,5,9,0,1,2,0
,,1,1,2021-01-27_13h12.17.769,AO,9,5,0,2,1,0
,,1,1,2021-01-27_13h12.17.769,AO,5,0,0,8,8,1
,,1,1,2021-01-27_13h12.17.769,AO,3,2,0,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,5,5,1
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,3,2,0
,,1,1,2021-01-27_13h12.17.769,AO,2,2,1,4,4,1
,,1,1,2021-01-27_13h12.17.769,AO,9,9,1,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,2,2,1,7,5,0
,,1,1,2021-01-27_13h12.17.769,AO,6,6,1,2,1,0
,,1,1,2021-01-27_13h12.17.769,AO,1,3,0,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,8,7,0,3,2,0
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,4,1,0
,,1,1,2021-01-27_13h12.17.769,AO,9,9,1,5,5,1
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,3,1,0,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,5,5,1,0,9,0
,,1,1,2021-01-27_13h12.17.769,AO,6,6,1,8,5,0
,,1,1,2021-01-27_13h12.17.769,AO,7,8,0,1,1,1
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,3,3,1
,,1,1,2021-01-27_13h12.17.769,AO,2,2,1,5,9,0
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,4,4,1
,,1,1,2021-01-27_13h12.17.769,AO,9,7,0,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,8,8,1,8,8,1
,,1,1,2021-01-27_13h12.17.769,AO,3,1,0,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,3,2,0,7,7,1
,,1,1,2021-01-27_13h12.17.769,AO,1,3,0,2,1,0
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,3,2,0
,,1,1,2021-01-27_13h12.17.769,AO,5,9,0,1,3,0
,,1,1,2021-01-27_13h12.17.769,AO,6,6,1,8,8,1
,,1,1,2021-01-27_13h12.17.769,AO,4,3,0,2,1,0
,,1,1,2021-01-27_13h12.17.769,AO,9,9,1,5,5,1
,,1,1,2021-01-27_13h12.17.769,AO,1,1,1,7,9,0
,,1,1,2021-01-27_13h12.17.769,AO,8,9,0,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,4,3,0
,,1,1,2021-01-27_13h12.17.769,AO,3,3,1,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,5,7,0,1,1,1
,,1,1,2021-01-27_13h12.17.769,AO,5,8,0,3,3,1
,,1,1,2021-01-27_13h12.17.769,AO,9,9,1,5,7,0
,,1,1,2021-01-27_13h12.17.769,AO,4,3,0,8,5,0
,,1,1,2021-01-27_13h12.17.769,AO,7,7,1,4,4,1
,,1,1,2021-01-27_13h12.17.769,AO,8,8,1,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,1,1,1,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,2,2,1,2,1,0
,,1,1,2021-01-27_13h12.17.769,AO,1,1,1,7,9,0
,,1,1,2021-01-27_13h12.17.769,AO,3,3,1,1,2,0
,,1,1,2021-01-27_13h12.17.769,AO,5,6,0,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,6,6,1,3,2,0
,,1,1,2021-01-27_13h12.17.769,AO,2,1,0,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,8,5,0
,,1,1,2021-01-27_13h12.17.769,AO,8,8,1,5,7,0
,,1,1,2021-01-27_13h12.17.769,AO,1,1,1,7,8,0
,,1,1,2021-01-27_13h12.17.769,AO,2,2,1,2,1,0
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,6,6,1,1,3,0
,,1,1,2021-01-27_13h12.17.769,AO,9,9,1,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,5,8,0,4,2,0
,,1,1,2021-01-27_13h12.17.769,AO,7,7,1,8,8,1
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,3,3,1,2,1,0
,,1,1,2021-01-27_13h12.17.769,AO,8,7,0,3,2,0
,,1,1,2021-01-27_13h12.17.769,AO,1,2,0,5,7,0
,,1,1,2021-01-27_13h12.17.769,AO,6,6,1,4,4,1
,,1,1,2021-01-27_13h12.17.769,AO,4,2,0,1,1,1
,,1,1,2021-01-27_13h12.17.769,AO,8,9,0,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,3,1,0,8,8,1
,,1,1,2021-01-27_13h12.17.769,AO,3,1,0,7,9,0
,,1,1,2021-01-27_13h12.17.769,AO,2,2,1,9,5,0
,,1,1,2021-01-27_13h12.17.769,AO,7,9,0,3,3,1
,,1,1,2021-01-27_13h12.17.769,AO,1,3,0,1,2,0
,,1,1,2021-01-27_13h12.17.769,AO,6,6,1,7,7,1
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,5,6,0
,,1,1,2021-01-27_13h12.17.769,AO,0,5,0,2,1,0
,,1,1,2021-01-27_13h12.17.769,AO,9,7,0,3,2,0
,,1,1,2021-01-27_13h12.17.769,AO,5,7,0,8,8,1
,,1,1,2021-01-27_13h12.17.769,AO,3,3,1,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,8,9,0,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,7,7,1,7,7,1
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,2,1,0
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,6,6,1,9,7,0
,,1,1,2021-01-27_13h12.17.769,AO,7,7,1,4,4,1
,,1,1,2021-01-27_13h12.17.769,AO,2,1,0,8,6,0
,,1,1,2021-01-27_13h12.17.769,AO,9,9,1,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,5,6,0,3,2,0
,,1,1,2021-01-27_13h12.17.769,AO,1,1,1,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,3,2,0,1,3,0
,,1,1,2021-01-27_13h12.17.769,AO,7,7,1,2,2,1
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,7,7,1
,,1,1,2021-01-27_13h12.17.769,AO,1,3,0,5,5,1
,,1,1,2021-01-27_13h12.17.769,AO,8,8,1,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,6,6,1,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,5,6,0,1,1,1
,,1,1,2021-01-27_13h12.17.769,AO,2,1,0,8,7,0
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,4,3,0
,,1,1,2021-01-27_13h12.17.769,AO,5,7,0,7,7,1
,,1,1,2021-01-27_13h12.17.769,AO,1,2,0,2,1,0
,,1,1,2021-01-27_13h12.17.769,AO,3,1,0,5,8,0
,,1,1,2021-01-27_13h12.17.769,AO,9,7,0,6,6,1
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,7,7,1
,,1,1,2021-01-27_13h12.17.769,AO,7,7,1,0,0,1
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,1,2,0
,,1,1,2021-01-27_13h12.17.769,AO,5,8,0,9,9,1
,,1,1,2021-01-27_13h12.17.769,AO,8,8,1,3,4,0
,,1,1,2021-01-27_13h12.17.769,AO,6,6,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,2,1,0,,,
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,9,9,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,9,5,0,,,
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,3,3,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,2,2,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,1,1,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,6,6,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,0,5,0,,,
,,1,1,2021-01-27_13h12.17.769,AO,7,7,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,8,8,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,2,2,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,9,5,0,,,
,,1,1,2021-01-27_13h12.17.769,AO,1,1,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,6,6,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,5,6,0,,,
,,1,1,2021-01-27_13h12.17.769,AO,8,8,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,7,7,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,3,3,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,2,2,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,9,9,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,1,3,0,,,
,,1,1,2021-01-27_13h12.17.769,AO,3,4,0,,,
,,1,1,2021-01-27_13h12.17.769,AO,5,6,0,,,
,,1,1,2021-01-27_13h12.17.769,AO,8,8,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,2,1,0,,,
,,1,1,2021-01-27_13h12.17.769,AO,6,6,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,7,9,0,,,
,,1,1,2021-01-27_13h12.17.769,AO,4,4,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,1,2,0,,,
,,1,1,2021-01-27_13h12.17.769,AO,2,1,0,,,
,,1,1,2021-01-27_13h12.17.769,AO,5,6,0,,,
,,1,1,2021-01-27_13h12.17.769,AO,2,2,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,8,7,0,,,
,,1,1,2021-01-27_13h12.17.769,AO,7,7,1,,,
,,1,1,2021-01-27_13h12.17.769,AO,5,8,0,,,
,,1,1,2021-01-27_13h12.17.769,AO,0,0,1,,,
