key_resp.keys,key_resp.rt,participant,session,date,Condition,CorrResp_Train,Part_Resp_Train,Code_Train,CorrResp_Test,Part_Resp_Test,Code_Test
space,11.041975,2,1,2021-01-28_19h12.54.217,AV,2,3,0,6,7,0
,,2,1,2021-01-28_19h12.54.217,AV,8,7,0,4,4,1
,,2,1,2021-01-28_19h12.54.217,AV,0,5,0,2,1,0
,,2,1,2021-01-28_19h12.54.217,AV,7,6,0,5,6,0
,,2,1,2021-01-28_19h12.54.217,AV,9,0,0,7,9,0
,,2,1,2021-01-28_19h12.54.217,AV,0,7,0,3,3,1
,,2,1,2021-01-28_19h12.54.217,AV,5,8,0,0,9,0
,,2,1,2021-01-28_19h12.54.217,AV,4,2,0,8,7,0
,,2,1,2021-01-28_19h12.54.217,AV,7,7,1,1,1,1
,,2,1,2021-01-28_19h12.54.217,AV,6,9,0,9,8,0
,,2,1,2021-01-28_19h12.54.217,AV,2,1,0,6,8,0
,,2,1,2021-01-28_19h12.54.217,AV,9,6,0,4,4,1
,,2,1,2021-01-28_19h12.54.217,AV,9,5,0,1,1,1
,,2,1,2021-01-28_19h12.54.217,AV,6,0,0,7,8,0
,,2,1,2021-01-28_19h12.54.217,AV,3,3,1,5,7,0
,,2,1,2021-01-28_19h12.54.217,AV,4,4,1,0,5,0
,,2,1,2021-01-28_19h12.54.217,AV,5,7,0,3,2,0
,,2,1,2021-01-28_19h12.54.217,AV,8,9,0,4,3,0
,,2,1,2021-01-28_19h12.54.217,AV,1,4,0,8,5,0
,,2,1,2021-01-28_19h12.54.217,AV,9,6,0,2,1,0
,,2,1,2021-01-28_19h12.54.217,AV,9,9,1,9,9,1
,,2,1,2021-01-28_19h12.54.217,AV,2,2,1,1,3,0
,,2,1,2021-01-28_19h12.54.217,AV,4,4,1,6,8,0
,,2,1,2021-01-28_19h12.54.217,AV,1,1,1,5,5,1
,,2,1,2021-01-28_19h12.54.217,AV,3,1,0,0,0,1
,,2,1,2021-01-28_19h12.54.217,AV,6,6,1,7,7,1
,,2,1,2021-01-28_19h12.54.217,AV,7,7,1,4,4,1
,,2,1,2021-01-28_19h12.54.217,AV,4,4,1,8,6,0
